,114.547537228,8.84,G5          ,0.759
 ,143.8848920863,6.32,G9III:      ,1.099
 ,222.2222222222,5.8,B8MNp...    ,-0.067
,195.3125,8.97,G8/K0V      ,0.86
,41.8410041841,7.53,G0V         ,0.577
,395.256916996,7.41,K0          ,1.288
,184.1620626151,7.8,F0          ,0.437
,70.1754385965,8.14,G0V         ,0.593
,150.1501501502,6.71,A1Vn        ,0.068
,704.2253521127,8.73,K1III       ,1.124
,89.928057554,8.69,G5          ,0.644
 ,11.4968958381,9.95,M2          ,1.472
,159.4896331738,7.1,K1III       ,1.128
,408.1632653061,8.09,F5          ,0.496
,96.6183574879,6.88,A2          ,0.174
 ,16.0051216389,8.49,K5V         ,1.076
 ,314.465408805,8.3,G5          ,0.998
,452.4886877828,7.95,G5          ,0.991
,188.3239171375,7.08,B9          ,-0.006
,233.1002331002,6.93,G8III/IV    ,0.94
,230.9468822171,8.38,B9V         ,-0.06
 ,39.4011032309,4.61,K1III       ,1.029
 ,4.3605284961,8.56,M2V         ,1.462
,775.1937984496,8.78,K2III       ,1.156
,104.7120418848,7.42,A1Vs        ,0.191
,591.7159763314,8.26,G4V:p       ,1.052
,198.0198019802,7.71,K0III       ,1.093
,148.1481481481,6.91,G5          ,1.12
,303.0303030303,8.99,K7          ,1.199
,219.7802197802,8.63,G0          ,0.46
,215.0537634409,7.59,K0          ,1.045
,210.0840336134,7.39,K0III       ,0.99
,208.7682672234,7.78,K0III       ,1.123
,497.5124378109,7.47,M3III       ,1.62
,325.7328990228,6.97,K5          ,1.444
,53.8502961766,8.82,G5V         ,0.666
,45.045045045,9.13,G5          ,0.735
,90.5797101449,7.86,F8          ,0.494
,50.4795557799,7.13,F5          ,0.446
,253.807106599,8.78,K2          ,1.249
,284.0909090909,7.23,K0          ,1.174
,235.2941176471,7.36,K0III       ,0.993
,434.7826086957,7.36,K3/K4III    ,1.444
